entry_time,exit_time,direction,entry_price,exit_price,pnl,exit_reason
2025-11-20 15:44:00,2025-11-20 16:07:00,SHORT,91615.19,90805.1,810.0899999999965,Take Profit
2025-11-20 16:41:00,2025-11-20 17:58:00,SHORT,90884.87,89999.07,885.7999999999884,Take Profit
2025-11-20 19:55:00,2025-11-20 20:33:00,LONG,87159.59,86757.7,-401.8899999999994,Stop Loss
2025-11-20 21:21:00,2025-11-20 23:21:00,LONG,86689.42,87390.96,701.5400000000081,Take Profit
2025-11-21 00:01:00,2025-11-21 00:04:00,SHORT,87242.59,87461.3,-218.7100000000064,Stop Loss
2025-11-21 00:05:00,2025-11-21 00:11:00,LONG,87451.09,87790.37,339.27999999999884,Take Profit
2025-11-21 01:04:00,2025-11-21 01:11:00,SHORT,87981.79,87425.15,556.6399999999994,Take Profit
2025-11-21 02:09:00,2025-11-21 04:06:00,LONG,87045.45,86685.61,-359.8399999999965,Stop Loss
2025-11-21 05:38:00,2025-11-21 06:32:00,LONG,85847.08,85463.35,-383.7299999999959,Stop Loss
2025-11-21 06:45:00,2025-11-21 08:30:00,LONG,85941.22,85595.53,-345.6900000000023,Stop Loss
2025-11-21 10:12:00,2025-11-21 10:36:00,LONG,84531.55,83960.25,-571.3000000000029,Stop Loss
2025-11-21 12:33:00,2025-11-21 14:08:00,LONG,82548.97,82003.96,-545.0099999999948,Stop Loss
2025-11-21 14:37:00,2025-11-21 15:17:00,LONG,82498.37,84213.43,1715.0599999999977,Take Profit
2025-11-21 15:31:00,2025-11-21 15:41:00,SHORT,83564.08,84095.24,-531.1600000000035,Stop Loss
2025-11-21 16:04:00,2025-11-21 16:32:00,SHORT,83862.44,84265.61,-403.1699999999983,Stop Loss
2025-11-21 16:33:00,2025-11-21 16:41:00,LONG,84272.42,85179.48,907.0599999999978,Take Profit
2025-11-21 17:10:00,2025-11-21 17:33:00,SHORT,84431.45,83543.12,888.3300000000017,Take Profit
2025-11-21 18:24:00,2025-11-21 18:51:00,LONG,83089.73,84084.17,994.4400000000023,Take Profit
2025-11-21 19:52:00,2025-11-21 20:03:00,SHORT,85012.57,84418.43,594.140000000014,Take Profit
2025-11-21 20:35:00,2025-11-21 22:18:00,LONG,84337.38,83852.74,-484.6399999999995,Stop Loss
2025-11-21 22:40:00,2025-11-21 23:22:00,LONG,84082.21,84810.75,728.5399999999936,Take Profit
2025-11-22 00:14:00,2025-11-22 00:23:00,SHORT,85156.26,84791.6,364.65999999998894,Take Profit
2025-11-22 01:17:00,2025-11-22 01:28:00,LONG,84611.46,84968.26,356.79999999998836,Take Profit
2025-11-22 02:25:00,2025-11-22 02:50:00,SHORT,85127.75,84743.86,383.8899999999994,Take Profit
2025-11-22 03:21:00,2025-11-22 04:00:00,LONG,84872.3,85196.89,324.5899999999965,Take Profit
2025-11-22 04:07:00,2025-11-22 04:34:00,SHORT,84882.77,84411.39,471.3800000000047,Take Profit
2025-11-22 05:10:00,2025-11-22 05:23:00,LONG,84525.31,84287.27,-238.0399999999936,Stop Loss
2025-11-22 05:57:00,2025-11-22 06:03:00,LONG,84445.6,84255.55,-190.0500000000029,Stop Loss
2025-11-22 06:05:00,2025-11-22 06:17:00,SHORT,84336.37,83960.1,376.2699999999895,Take Profit
2025-11-22 06:52:00,2025-11-22 07:16:00,LONG,84208.48,83992.59,-215.88999999999942,Stop Loss
2025-11-22 07:17:00,2025-11-22 07:54:00,SHORT,83999.51,84232.83,-233.32000000000698,Stop Loss
2025-11-22 09:05:00,2025-11-22 10:19:00,SHORT,84513.03,84266.92,246.11000000000058,Take Profit
2025-11-22 11:09:00,2025-11-22 11:21:00,LONG,84169.65,83969.24,-200.40999999998897,Stop Loss
2025-11-22 11:23:00,2025-11-22 11:36:00,SHORT,84031.36,84228.41,-197.0500000000029,Stop Loss
2025-11-22 11:42:00,2025-11-22 12:11:00,SHORT,83906.89,84134.41,-227.52000000000407,Stop Loss
2025-11-22 12:19:00,2025-11-22 12:39:00,SHORT,83903.2,83642.0,261.1999999999971,Take Profit
2025-11-22 13:06:00,2025-11-22 13:26:00,LONG,83824.84,84211.26,386.41999999999825,Take Profit
2025-11-22 14:01:00,2025-11-22 14:08:00,SHORT,84097.1,83812.54,284.5600000000122,Take Profit
2025-11-22 14:53:00,2025-11-22 15:12:00,LONG,83828.44,84108.39,279.9499999999971,Take Profit
2025-11-22 15:27:00,2025-11-22 15:48:00,SHORT,83869.89,84020.34,-150.4499999999971,Stop Loss
2025-11-22 15:56:00,2025-11-22 16:01:00,SHORT,83963.31,84132.91,-169.60000000000582,Stop Loss
2025-11-22 16:47:00,2025-11-22 16:51:00,SHORT,84258.35,84451.46,-193.11000000000058,Stop Loss
2025-11-22 16:52:00,2025-11-22 17:39:00,LONG,84465.56,84218.24,-247.31999999999243,Stop Loss
2025-11-22 19:03:00,2025-11-22 19:26:00,SHORT,84512.01,84693.76,-181.75,Stop Loss
2025-11-22 19:35:00,2025-11-22 21:08:00,SHORT,84584.55,84741.89,-157.3399999999965,Stop Loss
2025-11-22 21:27:00,2025-11-22 21:50:00,SHORT,84595.98,84694.78,-98.80000000000291,Stop Loss
2025-11-22 21:51:00,2025-11-22 22:37:00,LONG,84670.05,84528.66,-141.38999999999942,Stop Loss
2025-11-22 23:44:00,2025-11-23 00:05:00,LONG,84395.83,84277.2,-118.63000000000466,Stop Loss
2025-11-23 00:13:00,2025-11-23 00:36:00,LONG,84501.75,84683.95,182.1999999999971,Take Profit
2025-11-23 01:19:00,2025-11-23 02:08:00,SHORT,84817.16,85037.84,-220.67999999999302,Stop Loss
2025-11-23 02:41:00,2025-11-23 03:03:00,SHORT,84945.47,85179.04,-233.5699999999924,Stop Loss
2025-11-23 03:04:00,2025-11-23 03:18:00,LONG,85196.6,85473.23,276.6299999999901,Take Profit
