time,open,high,low,close,tick_volume,spread,real_volume
2026-01-05 22:50:00,4440.55,4442.3,4439.82,4442.25,424,19,0
2026-01-05 22:51:00,4442.25,4442.82,4441.23,4441.83,463,19,0
2026-01-05 22:52:00,4441.83,4443.02,4441.74,4442.9,447,19,0
2026-01-05 22:53:00,4442.9,4442.9,4440.67,4440.71,477,19,0
2026-01-05 22:54:00,4440.66,4442.31,4439.93,4441.98,442,19,0
2026-01-05 22:55:00,4441.97,4442.75,4441.56,4441.78,388,19,0
2026-01-05 22:56:00,4441.79,4443.36,4441.58,4442.76,482,19,0
2026-01-05 22:57:00,4442.75,4444.23,4442.55,4444.05,490,19,0
2026-01-05 22:58:00,4444.06,4445.43,4443.7,4445.1,686,19,0
2026-01-05 22:59:00,4445.09,4446.0,4444.44,4444.87,670,19,0
2026-01-05 23:00:00,4444.87,4447.17,4444.87,4446.37,489,19,0
2026-01-05 23:01:00,4446.37,4446.6,4445.36,4445.45,402,19,0
2026-01-05 23:02:00,4445.45,4446.34,4445.19,4445.97,329,19,0
2026-01-05 23:03:00,4445.97,4447.38,4445.92,4447.23,359,19,0
2026-01-05 23:04:00,4447.27,4447.59,4446.2,4446.41,497,19,0
2026-01-05 23:05:00,4446.42,4446.57,4445.73,4445.77,430,19,0
2026-01-05 23:06:00,4445.77,4445.89,4445.32,4445.8,249,19,0
2026-01-05 23:07:00,4445.81,4445.88,4445.1,4445.85,183,19,0
2026-01-05 23:08:00,4445.87,4445.87,4445.26,4445.26,150,19,0
2026-01-05 23:09:00,4445.26,4447.36,4445.17,4447.35,322,19,0
2026-01-05 23:10:00,4447.35,4448.11,4446.98,4447.08,354,19,0
2026-01-05 23:11:00,4447.09,4447.55,4446.89,4447.11,277,19,0
2026-01-05 23:12:00,4447.11,4447.43,4446.54,4447.38,213,19,0
2026-01-05 23:13:00,4447.38,4447.97,4447.28,4447.6,179,19,0
2026-01-05 23:14:00,4447.6,4447.63,4446.92,4446.99,224,19,0
2026-01-05 23:15:00,4446.99,4447.0,4446.41,4446.85,234,19,0
2026-01-05 23:16:00,4446.82,4446.82,4446.38,4446.62,113,19,0
2026-01-05 23:17:00,4446.62,4447.01,4446.13,4446.6,188,19,0
2026-01-05 23:18:00,4446.52,4446.85,4444.65,4444.68,251,19,0
2026-01-05 23:19:00,4444.67,4444.93,4443.34,4443.63,224,19,0
2026-01-05 23:20:00,4443.64,4444.16,4443.38,4443.73,276,19,0
2026-01-05 23:21:00,4443.69,4444.11,4443.46,4443.94,195,19,0
2026-01-05 23:22:00,4443.93,4444.8,4443.76,4444.75,138,19,0
2026-01-05 23:23:00,4444.71,4444.71,4444.21,4444.36,92,19,0
2026-01-05 23:24:00,4444.29,4444.36,4443.91,4444.27,100,19,0
2026-01-05 23:25:00,4444.27,4444.76,4444.12,4444.74,122,19,0
2026-01-05 23:26:00,4444.7,4445.03,4444.54,4444.69,122,19,0
2026-01-05 23:27:00,4444.62,4445.46,4444.62,4445.23,155,19,0
2026-01-05 23:28:00,4445.06,4445.44,4445.02,4445.32,95,19,0
2026-01-05 23:29:00,4445.32,4445.64,4445.01,4445.58,137,19,0
2026-01-05 23:30:00,4445.57,4445.88,4445.32,4445.63,114,19,0
2026-01-05 23:31:00,4445.63,4447.13,4445.61,4447.01,254,19,0
2026-01-05 23:32:00,4447.0,4447.0,4446.5,4446.9,148,19,0
2026-01-05 23:33:00,4446.91,4448.09,4446.78,4447.97,164,19,0
2026-01-05 23:34:00,4447.98,4448.29,4447.54,4447.73,194,19,0
2026-01-05 23:35:00,4447.7,4447.73,4446.88,4447.3,143,19,0
2026-01-05 23:36:00,4447.23,4447.26,4446.75,4446.81,138,19,0
2026-01-05 23:37:00,4446.77,4446.88,4446.63,4446.72,91,19,0
2026-01-05 23:38:00,4446.71,4447.07,4446.49,4447.07,116,19,0
2026-01-05 23:39:00,4447.04,4447.17,4446.07,4446.09,90,19,0
2026-01-05 23:40:00,4446.08,4446.7,4446.08,4446.4,126,19,0
2026-01-05 23:41:00,4446.4,4446.88,4446.04,4446.87,140,19,0
2026-01-05 23:42:00,4446.86,4447.04,4446.34,4446.69,102,19,0
2026-01-05 23:43:00,4446.71,4446.92,4446.61,4446.87,99,19,0
2026-01-05 23:44:00,4446.87,4446.87,4445.73,4445.88,116,19,0
2026-01-05 23:45:00,4445.88,4446.48,4445.67,4446.39,146,19,0
2026-01-05 23:46:00,4446.39,4447.19,4445.53,4445.53,128,19,0
2026-01-05 23:47:00,4445.52,4445.96,4445.36,4445.94,150,19,0
2026-01-05 23:48:00,4445.94,4446.79,4445.78,4446.74,109,19,0
2026-01-05 23:49:00,4446.77,4448.63,4446.77,4448.33,236,19,0
2026-01-05 23:50:00,4448.33,4448.53,4448.08,4448.25,127,19,0
2026-01-05 23:51:00,4448.26,4448.49,4448.0,4448.07,102,19,0
2026-01-05 23:52:00,4448.07,4448.89,4448.05,4448.33,114,19,0
2026-01-05 23:53:00,4448.35,4448.54,4448.05,4448.53,114,19,0
2026-01-05 23:54:00,4448.57,4448.57,4448.15,4448.49,111,19,0
2026-01-05 23:55:00,4448.49,4448.56,4448.14,4448.31,139,19,0
2026-01-05 23:56:00,4448.32,4449.18,4448.21,4448.72,142,19,0
2026-01-05 23:57:00,4448.68,4448.97,4448.5,4448.96,138,19,0
2026-01-06 01:00:00,4448.12,4450.65,4448.03,4450.09,129,19,0
2026-01-06 01:01:00,4450.1,4453.89,4449.42,4453.4,352,19,0
2026-01-06 01:02:00,4453.4,4454.26,4451.22,4451.56,317,19,0
2026-01-06 01:03:00,4451.58,4453.06,4451.35,4453.03,194,19,0
2026-01-06 01:04:00,4453.04,4454.9,4453.03,4454.34,233,19,0
2026-01-06 01:05:00,4454.34,4455.03,4454.02,4454.68,161,19,0
2026-01-06 01:06:00,4454.65,4454.65,4453.1,4454.02,125,19,0
2026-01-06 01:07:00,4454.0,4454.83,4453.65,4454.07,149,19,0
2026-01-06 01:08:00,4454.07,4454.64,4453.52,4454.48,145,19,0
2026-01-06 01:09:00,4454.47,4458.03,4454.16,4457.51,238,19,0
2026-01-06 01:10:00,4457.52,4460.12,4456.87,4456.89,477,19,0
2026-01-06 01:11:00,4456.88,4456.91,4454.19,4456.44,324,19,0
2026-01-06 01:12:00,4456.5,4456.58,4454.09,4454.31,240,19,0
2026-01-06 01:13:00,4454.3,4455.11,4453.73,4453.96,189,19,0
2026-01-06 01:14:00,4453.96,4454.14,4451.41,4451.59,247,19,0
2026-01-06 01:15:00,4451.59,4451.66,4449.79,4451.35,233,19,0
2026-01-06 01:16:00,4451.36,4451.36,4450.37,4450.84,207,19,0
2026-01-06 01:17:00,4450.84,4450.84,4448.74,4450.49,342,19,0
2026-01-06 01:18:00,4450.47,4453.46,4450.28,4453.29,314,19,0
2026-01-06 01:19:00,4453.24,4453.49,4451.57,4451.96,270,19,0
2026-01-06 01:20:00,4451.96,4452.94,4451.64,4452.72,278,19,0
2026-01-06 01:21:00,4452.72,4453.28,4452.17,4452.82,187,19,0
2026-01-06 01:22:00,4452.82,4453.19,4452.54,4452.54,167,19,0
2026-01-06 01:23:00,4452.57,4452.93,4452.18,4452.34,137,19,0
2026-01-06 01:24:00,4452.34,4452.35,4450.68,4450.73,187,19,0
2026-01-06 01:25:00,4450.74,4450.98,4449.9,4450.21,216,19,0
2026-01-06 01:26:00,4450.24,4450.6,4449.67,4449.76,202,19,0
2026-01-06 01:27:00,4449.77,4450.45,4449.76,4450.44,166,19,0
2026-01-06 01:28:00,4450.44,4450.46,4449.1,4449.25,167,19,0
2026-01-06 01:29:00,4449.25,4449.7,4448.64,4449.0,225,19,0
2026-01-06 01:30:00,4448.98,4450.35,4448.74,4449.84,303,19,0
2026-01-06 01:31:00,4449.84,4450.27,4444.42,4444.52,270,19,0
2026-01-06 01:32:00,4444.52,4445.57,4438.68,4441.86,517,19,0
2026-01-06 01:33:00,4441.84,4441.85,4440.06,4440.28,361,19,0
2026-01-06 01:34:00,4440.3,4442.45,4440.29,4441.33,320,19,0
2026-01-06 01:35:00,4441.32,4443.61,4441.32,4443.13,316,19,0
2026-01-06 01:36:00,4443.12,4445.27,4443.12,4445.01,251,19,0
2026-01-06 01:37:00,4445.01,4446.35,4444.71,4446.35,220,19,0
2026-01-06 01:38:00,4446.35,4446.35,4443.49,4443.85,218,19,0
2026-01-06 01:39:00,4443.84,4444.5,4442.06,4444.09,306,19,0
2026-01-06 01:40:00,4444.09,4444.24,4442.7,4444.24,233,19,0
2026-01-06 01:41:00,4444.24,4444.68,4443.16,4444.48,201,19,0
2026-01-06 01:42:00,4444.49,4444.67,4443.13,4443.33,162,19,0
2026-01-06 01:43:00,4443.32,4443.49,4442.09,4442.19,173,19,0
2026-01-06 01:44:00,4442.22,4443.1,4441.5,4443.0,204,19,0
2026-01-06 01:45:00,4443.0,4444.07,4441.69,4442.69,267,19,0
2026-01-06 01:46:00,4442.69,4443.78,4441.11,4441.16,189,19,0
2026-01-06 01:47:00,4441.16,4441.29,4439.94,4440.79,264,19,0
2026-01-06 01:48:00,4440.83,4441.7,4440.58,4441.59,184,19,0
2026-01-06 01:49:00,4441.58,4441.86,4441.26,4441.34,126,19,0
2026-01-06 01:50:00,4441.34,4441.34,4440.65,4440.87,104,19,0
2026-01-06 01:51:00,4440.86,4440.97,4439.12,4439.12,224,19,0
2026-01-06 01:52:00,4439.12,4440.3,4439.07,4439.44,257,19,0
2026-01-06 01:53:00,4439.44,4440.42,4439.14,4439.87,206,19,0
2026-01-06 01:54:00,4439.81,4439.98,4439.19,4439.53,212,19,0
2026-01-06 01:55:00,4439.54,4441.09,4439.1,4439.58,227,19,0
2026-01-06 01:56:00,4439.58,4440.25,4436.84,4440.22,326,19,0
2026-01-06 01:57:00,4440.22,4441.85,4439.79,4441.22,291,19,0
2026-01-06 01:58:00,4441.23,4441.66,4440.66,4441.12,283,19,0
2026-01-06 01:59:00,4441.11,4441.19,4440.24,4440.57,226,19,0
2026-01-06 02:00:00,4440.58,4441.19,4436.95,4438.61,468,19,0
2026-01-06 02:01:00,4438.6,4439.16,4436.59,4437.5,402,19,0
2026-01-06 02:02:00,4437.5,4439.31,4436.91,4438.01,296,19,0
2026-01-06 02:03:00,4437.91,4438.81,4437.35,4438.74,261,19,0
2026-01-06 02:04:00,4438.74,4440.41,4437.95,4440.32,273,19,0
2026-01-06 02:05:00,4440.36,4440.42,4436.92,4437.25,229,19,0
2026-01-06 02:06:00,4437.25,4439.06,4437.24,4438.42,174,19,0
2026-01-06 02:07:00,4438.43,4439.99,4438.21,4439.04,204,19,0
2026-01-06 02:08:00,4439.04,4441.27,4438.54,4440.69,275,19,0
2026-01-06 02:09:00,4440.7,4441.7,4438.88,4438.91,300,19,0
2026-01-06 02:10:00,4438.9,4439.02,4437.83,4438.23,237,19,0
2026-01-06 02:11:00,4438.23,4439.63,4437.8,4439.22,237,19,0
2026-01-06 02:12:00,4439.27,4439.58,4438.14,4438.69,229,19,0
2026-01-06 02:13:00,4438.71,4439.82,4438.46,4439.82,166,19,0
2026-01-06 02:14:00,4439.81,4440.91,4439.81,4440.48,236,19,0
2026-01-06 02:15:00,4440.48,4442.11,4440.39,4442.0,310,19,0
2026-01-06 02:16:00,4441.98,4442.01,4439.65,4440.54,279,19,0
2026-01-06 02:17:00,4440.56,4442.21,4439.37,4442.05,231,19,0
2026-01-06 02:18:00,4442.04,4442.45,4441.6,4442.33,255,19,0
2026-01-06 02:19:00,4442.31,4442.57,4441.43,4441.59,251,19,0
2026-01-06 02:20:00,4441.59,4441.85,4439.95,4440.36,300,19,0
2026-01-06 02:21:00,4440.35,4441.93,4440.03,4441.92,228,19,0
